country;sto;prices;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
BE;D21X31;V;26130.2;27751;27530.7;28695.2;29334.4;31974.3;33208.9;35128.9;37030;37759.1;36961.1;38793.1;39857.6;41106.1;41911.4;42420.9;43399.8;46052.6;48015.8;49850;51329.9;47163.1;54933.6
BG;B1G;Y;21480.846;23090.4;25659.558;29365.521;31572.479;33532.421;37562.605;42842.612;48212.268;57179.168;60721.344;64745.908;66607.855;70990.83;70699.386;71597.67;75158.47;79394.944;84854.774;91429.744;98827.117;99801.636;112939.214
BG;B1G;V;22213.216;24655.486;27291.59;30312.883;31973.044;35284.842;39985.885;45249.165;53865.638;61247.218;63592.187;65357.402;70806.782;71898.847;70901.647;72984.821;77388.745;82144.296;88355.926;95278.197;103952.592;104578.954;121607.273
BG;B1GQ;Y;24238.429;26191.712;29200.292;32806.205;35852.943;39023.195;44108.604;50215.63;57175.749;67386.42;70408.755;74309.778;76451.011;81736.879;82182.68;83036.99;87035.02;92323.431;98025.339;105498.982;114404.899;115630.019;129757.164
BG;B1GQ;V;25042.936;28124.88;30986.688;34068.712;36637.911;41201.297;47017.24;53608.436;63494.488;72847.049;73181.465;74877.677;81124.446;82645.905;82241.82;84150.301;89599.755;95390.491;102740.641;109964.381;120396.034;120553.384;139012.33
BG;D21X31;Y;2757.583;3101.312;3540.734;3440.684;4280.464;5490.774;6545.999;7373.018;8963.481;10207.252;9687.411;9563.87;9843.156;10746.049;11483.294;11439.32;11876.55;12928.487;13170.565;14069.238;15577.782;15828.383;16817.95
BG;D21X31;V;2829.72;3469.394;3695.098;3755.829;4664.867;5916.455;7031.355;8359.271;9628.85;11599.831;9589.278;9520.275;10317.664;10747.058;11340.173;11165.48;12211.01;13246.195;14384.715;14686.184;16443.442;15974.43;17405.057
CH;B1G;Y;431689.0406;446294.9986;459851.2136;465961.8885;464961.9819;483609.9522;499139.4988;524113.9083;556590.3721;586334.5687;582684.7467;604782.0604;619300.3897;627293.4795;639572.6119;655229.6599;662065.7165;668201.3317;675771.2177;693279.5309;707844.1857;691819.8873;712090.6744
CH;B1G;V;430430.5786;451845.4;464876.9825;465273.4064;470807.5675;485140.697;504280.839;535591.7037;570114.0795;594974.136;586152.9081;606823.7749;618868.729;627905.2752;639387.6234;651395.7906;654755.4675;665145.402;672740.7793;698917.0328;707357.103;686864.6076;722368.421
CH;B1GQ;Y;448258.9136;466269.1749;480042.9829;484696.8024;483213.4852;502732.8422;518814.7155;544687.6612;578672.5786;608767.0808;604850.6551;627226.9839;641411.0917;649004.9545;660802.7879;676813.8176;683971.9759;689555.7002;696303.9872;713928.5246;727981.9473;709811.224;732317.3348
CH;B1GQ;V;448437.4663;472595.7373;484723.4942;483439.9585;488937.3378;504278.1984;523662.5692;556438.8286;592442.2666;617696.4764;607377.2771;629325.2401;641200.3052;648980.519;660648.7655;672818.206;675735.646;685440.9842;693694.1254;719271.6238;727212.1457;706241.8094;742835.056
CH;D21X31;Y;16569.87307;19974.1763;20191.76923;18734.91389;18251.50334;19122.89002;19675.21673;20573.75291;22082.20659;22432.51207;22165.9084;22444.9235;22110.70197;21711.47494;21230.17606;21584.15775;21906.2594;21354.36855;20532.7695;20648.9937;20137.76157;17991.33672;20226.66039
CH;D21X31;V;18006.88769;20750.33733;19846.51167;18166.55209;18129.77031;19137.50138;19381.73026;20847.12489;22328.18719;22722.34032;21224.36891;22501.46519;22331.57625;21075.24381;21261.14208;21422.41537;20980.17845;20295.58223;20953.34608;20354.59099;19855.0427;19377.20179;20466.63502
CY;B1G;Y;8834.505;9551.141;10035.25;10727.642;10984.63;11969.419;12781.729;13560.177;14646.319;15667.292;16085.688;16800.333;17231.969;17040.691;16154.628;15752.942;15822.36;16747.973;17603.603;18746.302;19963.283;19437.338;20772.294
